Symbol,Day,Open,CloseDiff,SpreadOverLow,Volume,NextLow,TwoDayHigh,ThreeDayOpen
CRD.B,20060807,6.85,0.09197082,6.016929,26200,6.9,7.23,6.35
CRD.B,20070216,5.97,-0.04690113,5.153802,66600,5.81,6.34,6.2
CRD.B,20070907,6.38,-0.04388718,5.979073,44100,5.84,6.4,6.36
CRD.B,20080609,6.87,0.06695779,10.86263,92800,7.21,7.45,7.33
CRD.B,20110418,5.08,0.06692916,8.173471,216000,5.42,5.78,5.51
CRD.B,20130905,7.96,0.05025121,5.42719,66200,8.33,8.83,8.83
CRD.B,20170508,10.74,-0.08007446,7.426017,36700,9.37,9.76,9.47
CRK,20120111,83.05,-0.07405179,5.362483,1709200,72.2,71.3,69.3
CRK,20120201,60.95,-0.04758001,5.232808,3661400,57.55,59.6,60.85
CRK,20150107,31.3,-0.07188498,6.296178,2027600,28.2,29.4,26.9
CRK,20150327,18.2,-0.06043958,6.56329,1872900,16.6,18.15,18
CRK,20150706,11.55,-0.08225106,5.890062,3705100,9.85,11.5,11.1
CRK,20160122,8.4,0.01190481,8.573648,2227800,5,8.05,7.5
CRK,20160210,5.6,-0.01785713,5.995489,979800,5.3,5.9,5.75
CRK,20160224,4.65,-0.0752688,6.420299,1972100,4.1,4.75,4.35
CRK,20160519,3.3,-0.06060608,6.859066,1040900,3.1,3.35,3
CRK,20160825,5.26,0.04372615,6.285727,634900,5.35,6.88,6.74
CRK,20161018,8.3,0.04578314,6.622144,1115300,8.55,10.5,10.36
CRL,20060510,39.85,-0.005269739,4.667252,5012700,39.6,39.8,39.35
CRR,20120126,108.08,-0.03774983,6.4145,5729500,98.82,101.1,99.6
CRR,20150129,34,-0.02058826,11.09825,2458100,30.81,33.33,33.1
CRR,20171027,6.43,0.08709175,7.693046,1341900,7,8.38,8.37
CRY,20070308,7.64,0.01963352,5.5143,64800,7.66,7.87,7.43
CSU,20090626,4.19,0.05250591,7.146588,386900,4.32,4.66,4.62
CSV,20070117,5.23,0.04206497,5.985987,128400,5.45,5.48,5.45
CTB,20081010,7.01,0.001426498,3.96735,2125200,6.85,7.56,7.25
CTB,20090408,5.76,0.003472219,4.104297,1340200,5.92,6.64,6.41
CTS,20110608,9.35,-0.004278071,6.212623,163100,9.25,9.26,9.11
CTX,20090506,11.89,-0.09335581,6.684612,1.27411E+07,9.98,11,10.75
CUB,20070503,20.67,0.07934202,8.307418,288300,22.16,22.99,22.55
CUZ,20071008,30.46,0.007550934,5.770915,506400,29.93,30.21,30.26
